Ітерація,Найкраща довжина,Середня довжина
1,389.93093417690545,481.4222245624695
2,343.0746524075524,447.35638779190435
3,343.0746524075524,428.48901227675685
4,343.0746524075524,430.26916693622735
5,339.9429184520998,414.2039843329117
6,339.9429184520998,426.9678314411714
7,339.9429184520998,405.6931623168466
8,339.9429184520998,409.8125432964013
9,339.9429184520998,426.32209246038667
10,339.9429184520998,409.551473280744
11,339.9429184520998,426.71285780861746
12,339.9429184520998,402.37092928824984
13,339.9429184520998,416.29281705530013
14,339.9429184520998,423.82623551355005
15,339.9429184520998,406.38882577922544
16,339.9429184520998,396.14869409702936
17,339.9429184520998,415.63168724022427
18,339.9429184520998,421.76617423954616
19,339.9429184520998,416.0448486316218
20,339.9429184520998,404.6758819241197
21,339.9429184520998,420.7661789041698
22,339.9429184520998,407.2298886199195
23,339.9429184520998,428.8120421246685
24,339.9429184520998,427.5384774521499
25,339.9429184520998,418.061390796479
26,339.9429184520998,414.18554967915486
27,339.9429184520998,415.9003511411052
28,339.9429184520998,404.51709163639924
29,339.9429184520998,410.46431961740967
30,339.9429184520998,427.7943669408774
31,339.9429184520998,427.3324641682041
32,339.9429184520998,436.90228123584035
33,339.9429184520998,416.274000718506
34,339.9429184520998,414.5666561710749
35,339.9429184520998,401.52665352204184
36,339.9429184520998,408.0107147408773
37,339.9429184520998,412.12850860544
38,339.9429184520998,394.90827225008525
39,339.9429184520998,408.20006282333907
40,339.9429184520998,410.78030972277776
41,339.9429184520998,416.6096004725368
42,339.9429184520998,408.8935630921281
43,339.9429184520998,427.006685131645
44,339.9429184520998,421.9143478707808
45,339.9429184520998,423.8238686200383
46,339.9429184520998,408.3436597721291
47,339.9429184520998,409.0903212333669
48,339.9429184520998,418.69503399695884
49,339.9429184520998,397.6030227265879
50,339.9429184520998,410.47386200341793
51,339.9429184520998,428.48176241847364
52,339.9429184520998,421.61653560697334
53,339.9429184520998,406.7102726143233
54,339.9429184520998,419.48344313589894
55,339.9429184520998,429.45803712074746
56,339.9429184520998,412.6496442875561
57,339.9429184520998,411.68097093917515
58,339.9429184520998,430.1113788569095
59,339.9429184520998,417.89620697188815
60,339.9429184520998,414.56489249051776
61,339.9429184520998,405.2348612969203
62,339.9429184520998,433.84632715207533
63,339.9429184520998,423.97657604824616
64,339.9429184520998,409.79603985558003
65,339.9429184520998,413.7320511607437
66,339.9429184520998,421.94813461430533
67,339.9429184520998,404.3116217427126
68,339.9429184520998,415.6295328590139
69,339.9429184520998,421.67279274947344
70,339.9429184520998,405.8069386237006
71,339.9429184520998,416.1275386061062
72,339.9429184520998,419.6102753883715
73,339.9429184520998,416.6163256381433
74,339.9429184520998,404.9174135536221
75,339.9429184520998,419.1590729142911
76,339.9429184520998,432.2089536287389
77,339.9429184520998,409.3287973845851
78,339.9429184520998,417.66006623980405
79,339.9429184520998,423.00725563608574
80,339.9429184520998,407.2342727470454
81,339.9429184520998,408.8541543522794
82,339.9429184520998,417.1895020622209
83,339.9429184520998,411.54507049682576
84,339.9429184520998,400.9298568620227
85,339.9429184520998,411.57619838198804
86,339.9429184520998,419.18643831045546
87,339.9429184520998,426.945026437964
88,339.9429184520998,406.2804866493113
89,339.9429184520998,391.22774608325943
90,339.9429184520998,404.38800287564396
91,339.9429184520998,418.71653842560283
92,339.9429184520998,427.67878747477897
93,339.9429184520998,424.0137842932076
94,339.9429184520998,430.7800620165914
95,339.9429184520998,438.6995721349818
96,339.9429184520998,426.39305262911165
97,339.9429184520998,422.57068245354316
98,339.9429184520998,451.6620167543688
99,339.9429184520998,445.0476476244688
100,339.9429184520998,422.5077525850892
